,Survived,Pclass,Sex,Age,SibSp,Parch,C,Q,S,Fare
0,0,3,0,22.0,1,0,0,0,1,1.9810014688665833
1,1,1,1,38.0,1,0,1,0,0,4.26666207838721
2,1,3,1,26.0,0,0,0,0,1,2.0700223197633445
3,1,1,1,35.0,1,0,0,0,1,3.9721769282478934
4,0,3,0,35.0,0,0,0,0,1,2.0856720914304723
5,0,3,0,28.0,0,0,0,1,0,2.135148207799377
6,0,1,0,54.0,0,0,0,0,1,3.948595985658986
8,1,3,1,27.0,0,2,0,0,1,2.409940617298087
9,1,2,1,14.0,1,0,1,0,0,3.4035546012358333
10,1,3,1,4.0,1,1,0,0,1,2.8154087194227095
12,0,3,0,20.0,0,0,0,0,1,2.0856720914304723
13,0,3,0,39.0,1,5,0,0,1,3.442819056352975
14,0,3,1,14.0,0,0,0,0,1,2.061048420562944
17,1,2,0,28.0,0,0,0,0,1,2.5649493574615367
18,0,3,1,31.0,1,0,0,0,1,2.8903717578961645
19,1,3,1,28.0,0,0,1,0,0,1.9775472339984959
20,0,2,0,35.0,0,0,0,0,1,3.258096538021482
21,1,2,0,34.0,0,0,0,0,1,2.5649493574615367
22,1,3,1,15.0,0,0,0,1,0,2.0830848965946345
23,1,1,0,28.0,0,0,0,0,1,3.56953269648137
24,0,3,1,8.0,3,1,0,0,1,3.048087503887919
25,1,3,1,38.0,1,5,0,0,1,3.4464097244837033
26,0,3,0,28.0,0,0,1,0,0,1.9775472339984959
28,1,3,1,28.0,0,0,0,1,0,2.0642263758733557
29,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
30,0,1,0,40.0,0,0,1,0,0,3.32218303393412
31,1,1,1,28.0,1,0,1,0,0,4.9871673979011675
32,1,3,1,28.0,0,0,0,1,0,2.0476928433652555
34,0,1,0,28.0,1,0,1,0,0,4.408800007809053
35,0,1,0,42.0,1,0,0,0,1,3.9512437185814275
36,1,3,0,28.0,0,0,1,0,0,1.9781283799793465
37,0,3,0,21.0,0,0,0,0,1,2.0856720914304723
38,0,3,1,18.0,2,0,0,0,1,2.8903717578961645
39,1,3,1,14.0,1,0,1,0,0,2.419630078580691
40,0,3,1,40.0,1,0,0,0,1,2.24865675096849
41,0,2,1,27.0,1,0,0,0,1,3.044522437723423
42,0,3,0,28.0,0,0,1,0,0,2.0663309725297405
43,1,2,1,3.0,1,2,1,0,0,3.7276000422255353
44,1,3,1,19.0,0,0,0,1,0,2.0642263758733557
45,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
46,0,3,0,28.0,1,0,0,1,0,2.740840023925201
47,1,3,1,28.0,0,0,0,1,0,2.0476928433652555
48,0,3,0,28.0,2,0,1,0,0,3.0763532755216065
49,0,3,1,18.0,1,0,0,0,1,2.8791984572980396
50,0,3,0,7.0,4,1,0,0,1,3.6810362766529106
51,0,3,0,21.0,0,0,0,0,1,2.0541237336955462
52,1,1,1,49.0,1,0,1,0,0,4.340282339965535
53,1,2,1,29.0,1,0,0,0,1,3.258096538021482
55,1,1,0,28.0,0,0,0,0,1,3.56953269648137
56,1,2,1,21.0,0,0,0,0,1,2.3513752571634776
57,0,3,0,28.5,0,0,1,0,0,1.9781283799793465
58,1,2,1,5.0,1,2,0,0,1,3.3232358401924436
59,0,3,0,11.0,5,2,0,0,1,3.8480176754522337
60,0,3,0,22.0,0,0,1,0,0,1.9781283799793465
61,1,1,1,38.0,0,0,0,0,1,4.382026634673881
62,0,1,0,45.0,1,0,0,0,1,4.424547185829718
63,0,3,0,4.0,3,2,0,0,1,3.32862668882732
64,0,1,0,28.0,0,0,1,0,0,3.32218303393412
65,1,3,0,28.0,1,1,1,0,0,2.7243040552851014
66,1,2,1,29.0,0,0,0,0,1,2.3513752571634776
67,0,3,0,19.0,0,0,0,0,1,2.0990358139382788
68,1,3,1,17.0,4,2,0,0,1,2.0700223197633445
69,0,3,0,26.0,2,0,0,0,1,2.1590033645160216
70,0,2,0,32.0,0,0,0,0,1,2.3513752571634776
71,0,3,1,16.0,5,2,0,0,1,3.8480176754522337
72,0,2,0,21.0,0,0,0,0,1,4.297285406218791
73,0,3,0,26.0,1,0,1,0,0,2.6709850297651974
74,1,3,0,32.0,0,0,0,0,1,4.034166299106131
75,0,3,0,25.0,0,0,0,0,1,2.0347056478384444
76,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
77,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
79,1,3,1,30.0,0,0,0,0,1,2.5237266416375825
80,0,3,0,22.0,0,0,0,0,1,2.1972245773362196
81,1,3,0,29.0,0,0,0,0,1,2.2512917986064953
82,1,3,1,28.0,0,0,0,1,0,2.0525198841135714
83,0,1,0,28.0,0,0,0,0,1,3.8522730010223722
84,1,2,1,17.0,0,0,0,0,1,2.3513752571634776
85,1,3,1,33.0,3,0,0,0,1,2.7631695003232895
86,0,3,0,16.0,1,3,0,0,1,3.5373295559867355
87,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
89,0,3,0,24.0,0,0,0,0,1,2.0856720914304723
90,0,3,0,29.0,0,0,0,0,1,2.0856720914304723
91,0,3,0,20.0,0,0,0,0,1,2.061048420562944
92,0,1,0,46.0,1,0,0,0,1,4.113738609328736
93,0,3,0,26.0,1,2,0,0,1,3.0240767465631335
95,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
97,1,1,0,23.0,0,1,1,0,0,4.148805916338137
98,1,2,1,34.0,0,1,0,0,1,3.1354942159291497
99,0,2,0,34.0,1,0,0,0,1,3.258096538021482
100,0,3,1,28.0,0,0,0,0,1,2.0663309725297405
101,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
102,0,1,0,21.0,0,1,0,0,1,4.347532234884687
103,0,3,0,33.0,0,0,0,0,1,2.158044752235899
104,0,3,0,37.0,2,0,0,0,1,2.0700223197633445
105,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
106,1,3,1,21.0,0,0,0,0,1,2.0347056478384444
107,1,3,0,28.0,0,0,0,0,1,2.0509134580652977
108,0,3,0,38.0,0,0,0,0,1,2.0663309725297405
109,1,3,1,28.0,1,0,0,1,0,3.184284380098582
110,0,1,0,47.0,0,0,0,0,1,3.9512437185814275
111,0,3,1,14.5,1,0,1,0,0,2.6709850297651974
112,0,3,0,22.0,0,0,0,0,1,2.0856720914304723
113,0,3,1,20.0,1,0,0,0,1,2.284930157755325
114,0,3,1,17.0,0,0,1,0,0,2.671268644120752
115,0,3,0,21.0,0,0,0,0,1,2.0700223197633445
117,0,2,0,29.0,1,0,0,0,1,3.044522437723423
120,0,2,0,21.0,2,0,0,0,1,4.297285406218791
121,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
122,0,2,0,32.5,1,0,1,0,0,3.4035546012358333
123,1,2,1,32.5,0,0,0,0,1,2.5649493574615367
124,0,1,0,54.0,0,1,0,0,1,4.347532234884687
125,1,3,0,12.0,1,0,1,0,0,2.419630078580691
126,0,3,0,28.0,0,0,0,1,0,2.0476928433652555
127,1,3,0,24.0,0,0,0,0,1,1.9659508432494155
128,1,3,1,28.0,1,1,1,0,0,3.107197616774036
129,0,3,0,45.0,0,0,0,0,1,1.9423323277074294
130,0,3,0,33.0,0,0,1,0,0,2.0663309725297405
131,0,3,0,20.0,0,0,0,0,1,1.9530276168241774
132,0,3,1,47.0,1,0,0,0,1,2.6741486494265287
133,1,2,1,29.0,1,0,0,0,1,3.258096538021482
134,0,2,0,25.0,0,0,0,0,1,2.5649493574615367
135,0,2,0,23.0,0,0,1,0,0,2.711098882480229
136,1,1,1,19.0,0,2,0,0,1,3.2689337565093157
137,0,1,0,37.0,1,0,0,0,1,3.9721769282478934
138,0,3,0,16.0,0,0,0,0,1,2.221017055930222
139,0,1,0,24.0,0,0,1,0,0,4.37197629882038
140,0,3,1,28.0,0,2,1,0,0,2.7243040552851014
141,1,3,1,22.0,0,0,0,0,1,2.0476928433652555
142,1,3,1,24.0,1,0,0,0,1,2.7631695003232895
143,0,3,0,19.0,0,0,0,1,0,1.9095425048844386
144,0,2,0,18.0,0,0,0,0,1,2.4423470353692043
145,0,2,0,19.0,1,1,0,0,1,3.6041382256588457
146,1,3,0,27.0,0,0,0,0,1,2.0535851271346086
147,0,3,1,9.0,2,2,0,0,1,3.5373295559867355
148,0,2,0,36.5,0,2,0,0,1,3.258096538021482
149,0,2,0,42.0,0,0,0,0,1,2.5649493574615367
150,0,2,0,51.0,0,0,0,0,1,2.5277266469709283
151,1,1,1,22.0,1,0,0,0,1,4.198704577546343
153,0,3,0,40.5,0,2,0,0,1,2.6741486494265287
154,0,3,0,28.0,0,0,0,0,1,1.989585212557975
155,0,1,0,51.0,0,1,1,0,0,4.117071015545232
156,1,3,1,16.0,0,0,0,1,0,2.0455356796500372
157,0,3,0,30.0,0,0,0,0,1,2.0856720914304723
158,0,3,0,28.0,0,0,0,0,1,2.1590033645160216
159,0,3,0,28.0,8,2,0,0,1,4.242045918369452
160,0,3,0,44.0,0,1,0,0,1,2.7788192719904172
161,1,2,1,40.0,0,0,0,0,1,2.7568403652716422
162,0,3,0,26.0,0,0,0,0,1,2.0509134580652977
163,0,3,0,17.0,0,0,0,0,1,2.1590033645160216
165,1,3,0,9.0,0,2,0,0,1,3.021643655338492
166,1,1,1,28.0,0,1,0,0,1,4.007333185232471
167,0,3,1,45.0,1,4,0,0,1,3.32862668882732
168,0,1,0,28.0,0,0,0,0,1,3.2552077541155913
169,0,3,0,28.0,0,0,0,0,1,4.034166299106131
171,0,3,0,4.0,4,1,0,1,0,3.371596911885865
173,0,3,0,21.0,0,0,0,0,1,2.0700223197633445
175,0,3,0,18.0,1,1,0,0,1,2.061048420562944
176,0,3,0,28.0,3,1,0,0,1,3.237371716404032
177,0,1,1,50.0,0,0,1,0,0,3.3573325680152166
178,0,2,0,30.0,0,0,0,0,1,2.5649493574615367
180,0,3,1,28.0,8,2,0,0,1,4.242045918369452
181,0,2,0,28.0,0,0,1,0,0,2.711377991194885
182,0,3,0,9.0,4,2,0,0,1,3.4464097244837033
184,1,3,1,4.0,0,2,0,0,1,3.092178171822243
185,0,1,0,28.0,0,0,0,0,1,3.912023005428146
186,1,3,1,28.0,1,0,0,1,0,2.740840023925201
187,1,1,0,45.0,0,0,0,0,1,3.279029747687948
188,0,3,0,40.0,1,1,0,1,0,2.740840023925201
189,0,3,0,36.0,0,0,0,0,1,2.0663309725297405
190,1,2,1,32.0,0,0,0,0,1,2.5649493574615367
191,0,2,0,19.0,0,0,0,0,1,2.5649493574615367
192,1,3,1,19.0,1,0,0,0,1,2.061048420562944
193,1,2,0,3.0,1,1,0,0,1,3.258096538021482
194,1,1,1,44.0,0,0,1,0,0,3.32218303393412
196,0,3,0,28.0,0,0,0,1,0,2.0476928433652555
197,0,3,0,42.0,0,1,0,0,1,2.128731580890919
198,1,3,1,28.0,0,0,0,1,0,2.0476928433652555
199,0,2,1,24.0,0,0,0,0,1,2.5649493574615367
200,0,3,0,28.0,0,0,0,0,1,2.2512917986064953
201,0,3,0,28.0,8,2,0,0,1,4.242045918369452
202,0,3,0,34.0,0,0,0,0,1,1.8711558142080713
203,0,3,0,45.5,0,0,1,0,0,1.9775472339984959
204,1,3,0,18.0,0,0,0,0,1,2.0856720914304723
206,0,3,0,32.0,1,0,0,0,1,2.7631695003232895
207,1,3,0,26.0,0,0,1,0,0,2.933191755079093
208,1,3,1,16.0,0,0,0,1,0,2.0476928433652555
209,1,1,0,40.0,0,0,1,0,0,3.4339872044851463
210,0,3,0,24.0,0,0,0,0,1,1.9530276168241774
211,1,2,1,35.0,0,0,0,0,1,3.044522437723423
212,0,3,0,22.0,0,0,0,0,1,1.9810014688665833
213,0,2,0,30.0,0,0,0,0,1,2.5649493574615367
214,0,3,0,28.0,1,0,0,1,0,2.0476928433652555
215,1,1,1,31.0,1,0,1,0,0,4.729818490553202
216,1,3,1,27.0,0,0,0,0,1,2.0700223197633445
217,0,2,0,42.0,1,0,0,0,1,3.295836866004329
218,1,1,1,32.0,0,0,1,0,0,4.334564151246186
219,0,2,0,30.0,0,0,0,0,1,2.3513752571634776
220,1,3,0,16.0,0,0,0,0,1,2.0856720914304723
221,0,2,0,27.0,0,0,0,0,1,2.5649493574615367
222,0,3,0,51.0,0,0,0,0,1,2.0856720914304723
223,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
224,1,1,0,38.0,1,0,0,0,1,4.499809670330265
225,0,3,0,22.0,0,0,0,0,1,2.2353763433005955
226,1,2,0,19.0,0,0,0,0,1,2.3513752571634776
227,0,3,0,20.5,0,0,0,0,1,1.9810014688665833
228,0,2,0,18.0,0,0,0,0,1,2.5649493574615367
229,0,3,1,28.0,3,1,0,0,1,3.237371716404032
230,1,1,1,35.0,1,0,0,0,1,4.424547185829718
231,0,3,0,29.0,0,0,0,0,1,2.0509134580652977
233,1,3,1,5.0,4,2,0,0,1,3.4464097244837033
234,0,2,0,24.0,0,0,0,0,1,2.3513752571634776
235,0,3,1,28.0,0,0,0,0,1,2.0215475632609334
236,0,2,0,44.0,1,0,0,0,1,3.258096538021482
237,1,2,1,8.0,0,2,0,0,1,3.2676659890376327
238,0,2,0,19.0,0,0,0,0,1,2.3513752571634776
239,0,2,0,33.0,0,0,0,0,1,2.507564673680584
240,0,3,1,28.0,1,0,1,0,0,2.6709850297651974
241,1,3,1,28.0,1,0,0,1,0,2.740840023925201
242,0,2,0,29.0,0,0,0,0,1,2.3513752571634776
243,0,3,0,22.0,0,0,0,0,1,1.9636097261547143
244,0,3,0,30.0,0,0,1,0,0,1.9775472339984959
245,0,1,0,44.0,2,0,0,1,0,4.499809670330265
246,0,3,1,25.0,0,0,0,0,1,2.0509134580652977
247,1,2,1,24.0,0,2,0,0,1,2.6741486494265287
248,1,1,0,37.0,1,1,0,0,1,3.961845018011234
249,0,2,0,54.0,1,0,0,0,1,3.258096538021482
250,0,3,0,28.0,0,0,0,0,1,1.9810014688665833
251,0,3,1,29.0,1,1,0,0,1,2.3477974358155937
253,0,3,0,30.0,1,0,0,0,1,2.7788192719904172
254,0,3,1,41.0,0,2,0,0,1,3.006301224903225
255,1,3,1,29.0,0,2,1,0,0,2.7243040552851014
256,1,1,1,28.0,0,0,1,0,0,4.37197629882038
257,1,1,1,30.0,0,0,0,0,1,4.460144413937834
259,1,2,1,50.0,0,1,0,0,1,3.258096538021482
260,0,3,0,28.0,0,0,0,1,0,2.0476928433652555
261,1,3,0,3.0,4,2,0,0,1,3.4464097244837033
262,0,1,0,52.0,1,1,0,0,1,4.3776420363560575
264,0,3,1,28.0,0,0,0,1,0,2.0476928433652555
265,0,2,0,36.0,0,0,0,0,1,2.3513752571634776
266,0,3,0,16.0,4,1,0,0,1,3.6810362766529106
267,1,3,0,25.0,1,0,0,0,1,2.0509134580652977
269,1,1,1,35.0,0,0,0,0,1,4.909954920578875
270,0,1,0,28.0,0,0,0,0,1,3.4339872044851463
272,1,2,1,41.0,0,1,0,0,1,2.970414465569701
273,0,1,0,37.0,0,1,1,0,0,3.391147045808654
274,1,3,1,28.0,0,0,0,1,0,2.0476928433652555
276,0,3,1,45.0,0,0,0,0,1,2.0476928433652555
278,0,3,0,7.0,4,1,0,1,0,3.371596911885865
279,1,3,1,35.0,1,1,0,0,1,3.0081547935525483
281,0,3,0,28.0,0,0,0,0,1,2.061048420562944
282,0,3,0,16.0,0,0,0,0,1,2.2512917986064953
283,1,3,0,19.0,0,0,0,0,1,2.0856720914304723
284,0,1,0,28.0,0,0,0,0,1,3.258096538021482
285,0,3,0,33.0,0,0,1,0,0,2.1590033645160216
286,1,3,0,30.0,0,0,0,0,1,2.2512917986064953
287,0,3,0,22.0,0,0,0,0,1,2.0663309725297405
288,1,2,0,42.0,0,0,0,0,1,2.5649493574615367
289,1,3,1,22.0,0,0,0,1,0,2.0476928433652555
290,1,1,1,26.0,0,0,0,0,1,4.367547313409047
291,1,1,1,19.0,1,0,1,0,0,4.51172945766992
292,0,2,0,36.0,0,0,1,0,0,2.5552874465497997
293,0,3,1,24.0,0,0,0,0,1,2.180417459019838
294,0,3,0,24.0,0,0,0,0,1,2.0663309725297405
295,0,1,0,28.0,0,0,1,0,0,3.32218303393412
296,0,3,0,23.5,0,0,1,0,0,1.9781283799793465
298,1,1,0,28.0,0,0,0,0,1,3.417726683613366
300,1,3,1,28.0,0,0,0,1,0,2.0476928433652555
301,1,3,0,28.0,2,0,0,1,0,3.1463051320333655
303,1,2,1,28.0,0,0,0,1,0,2.513656063073986
304,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
306,1,1,1,28.0,0,0,1,0,0,4.708478296903478
307,1,1,1,17.0,1,0,1,0,0,4.690430029938915
308,0,2,0,30.0,1,0,1,0,0,3.1780538303479458
309,1,1,1,30.0,0,0,1,0,0,4.041808390519271
310,1,1,1,24.0,0,0,1,0,0,4.4207460202604185
312,0,2,1,26.0,1,1,0,0,1,3.258096538021482
313,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
314,0,2,0,43.0,1,1,0,0,1,3.2676659890376327
315,1,3,1,26.0,0,0,0,0,1,2.061048420562944
316,1,2,1,24.0,1,0,0,0,1,3.258096538021482
317,0,2,0,54.0,0,0,0,0,1,2.6390573296152584
318,1,1,1,31.0,0,2,0,0,1,5.1051372686027685
319,1,1,1,40.0,1,1,1,0,0,4.901564199041894
320,0,3,0,22.0,0,0,0,0,1,1.9810014688665833
321,0,3,0,27.0,0,0,0,0,1,2.0663309725297405
322,1,2,1,30.0,0,0,0,1,0,2.513656063073986
323,1,2,1,22.0,1,1,0,0,1,3.367295829986474
324,0,3,0,28.0,8,2,0,0,1,4.242045918369452
325,1,1,1,36.0,0,0,1,0,0,4.909954920578875
327,1,2,1,36.0,0,0,0,0,1,2.5649493574615367
328,1,3,1,31.0,1,1,0,0,1,3.021643655338492
329,1,1,1,16.0,0,1,1,0,0,4.0600843255369865
330,1,3,1,28.0,2,0,0,1,0,3.1463051320333655
331,0,1,0,45.5,0,0,0,0,1,3.349904087274605
332,0,1,0,38.0,0,1,0,0,1,5.033456237506958
333,0,3,0,16.0,2,0,0,0,1,2.8903717578961645
334,1,1,1,28.0,1,0,0,0,1,4.895224442584928
335,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
336,0,1,0,29.0,1,0,0,0,1,4.198704577546343
337,1,1,1,41.0,0,0,1,0,0,4.901564199041894
338,1,3,0,45.0,0,0,0,0,1,2.0856720914304723
339,0,1,0,45.0,0,0,0,0,1,3.56953269648137
342,0,2,0,28.0,0,0,0,0,1,2.5649493574615367
343,0,2,0,25.0,0,0,0,0,1,2.5649493574615367
344,0,2,0,36.0,0,0,0,0,1,2.5649493574615367
345,1,2,1,24.0,0,0,0,0,1,2.5649493574615367
346,1,2,1,40.0,0,0,0,0,1,2.5649493574615367
347,1,3,1,28.0,1,0,0,0,1,2.7788192719904172
348,1,3,0,3.0,1,1,0,0,1,2.766319109226186
349,0,3,0,42.0,0,0,0,0,1,2.1590033645160216
350,0,3,0,23.0,0,0,0,0,1,2.221917189926591
351,0,1,0,28.0,0,0,0,0,1,3.5553480614894135
352,0,3,0,15.0,1,1,1,0,0,1.9781283799793465
353,0,3,0,25.0,1,0,0,0,1,2.8791984572980396
354,0,3,0,28.0,0,0,1,0,0,1.9775472339984959
355,0,3,0,28.0,0,0,0,0,1,2.2512917986064953
356,1,1,1,22.0,0,1,0,0,1,4.007333185232471
357,0,2,1,38.0,0,0,0,0,1,2.5649493574615367
358,1,3,1,28.0,0,0,0,1,0,2.0642263758733557
359,1,3,1,28.0,0,0,0,1,0,2.0642263758733557
360,0,3,0,40.0,1,4,0,0,1,3.32862668882732
361,0,2,0,29.0,1,0,1,0,0,3.32218303393412
362,0,3,1,45.0,0,1,1,0,0,2.6709850297651974
363,0,3,0,35.0,0,0,0,0,1,1.9530276168241774
364,0,3,0,28.0,1,0,0,1,0,2.740840023925201
365,0,3,0,30.0,0,0,0,0,1,1.9810014688665833
367,1,3,1,28.0,0,0,1,0,0,1.9781283799793465
368,1,3,1,28.0,0,0,0,1,0,2.0476928433652555
369,1,1,1,24.0,0,0,1,0,0,4.238444906195857
370,1,1,0,25.0,1,0,1,0,0,4.015332018192187
371,0,3,0,18.0,1,0,0,0,1,1.8711558142080713
372,0,3,0,19.0,0,0,0,0,1,2.0856720914304723
373,0,1,0,22.0,0,0,1,0,0,4.909954920578875
374,0,3,1,3.0,3,1,0,0,1,3.048087503887919
375,1,1,1,28.0,1,0,1,0,0,4.408800007809053
376,1,3,1,22.0,0,0,0,0,1,1.9810014688665833
377,0,1,0,27.0,0,2,1,0,0,5.354224998486333
378,0,3,0,20.0,0,0,1,0,0,1.3894144884561344
379,0,3,0,19.0,0,0,0,0,1,2.0509134580652977
380,1,1,1,42.0,0,0,1,0,0,5.427260122463419
382,0,3,0,32.0,0,0,0,0,1,2.0700223197633445
383,1,1,1,35.0,1,0,0,0,1,3.9512437185814275
384,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
385,0,2,0,18.0,0,0,0,0,1,4.297285406218791
387,1,2,1,36.0,0,0,0,0,1,2.5649493574615367
388,0,3,0,28.0,0,0,0,1,0,2.0450053643587083
389,1,2,1,17.0,0,0,1,0,0,2.4849066497880004
390,1,1,0,36.0,1,2,0,0,1,4.787491742782046
391,1,3,0,21.0,0,0,0,0,1,2.0535851271346086
392,0,3,0,28.0,2,0,0,0,1,2.0700223197633445
393,1,1,1,23.0,1,0,1,0,0,4.729818490553202
394,1,3,1,24.0,0,2,0,0,1,2.8154087194227095
395,0,3,0,22.0,0,0,0,0,1,2.0535851271346086
396,0,3,1,31.0,0,0,0,0,1,2.061048420562944
397,0,2,0,46.0,0,0,0,0,1,3.258096538021482
398,0,2,0,23.0,0,0,0,0,1,2.3513752571634776
399,1,2,1,28.0,0,0,0,0,1,2.5376572151735295
400,1,3,0,39.0,0,0,0,0,1,2.0700223197633445
401,0,3,0,26.0,0,0,0,0,1,2.0856720914304723
402,0,3,1,21.0,1,0,0,0,1,2.284930157755325
403,0,3,0,28.0,1,0,0,0,1,2.7631695003232895
404,0,3,1,20.0,0,0,0,0,1,2.1590033645160216
405,0,2,0,34.0,1,0,0,0,1,3.044522437723423
406,0,3,0,51.0,0,0,0,0,1,2.0476928433652555
407,1,2,0,3.0,1,1,0,0,1,2.9311937524164198
408,0,3,0,21.0,0,0,0,0,1,2.0509134580652977
409,0,3,1,28.0,3,1,0,0,1,3.237371716404032
410,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
411,0,3,0,28.0,0,0,0,1,0,1.925459597615898
412,1,1,1,33.0,1,0,0,1,0,4.499809670330265
414,1,3,0,44.0,0,0,0,0,1,2.0700223197633445
415,0,3,1,28.0,0,0,0,0,1,2.0856720914304723
416,1,2,1,34.0,1,1,0,0,1,3.481240089335692
417,1,2,1,18.0,0,2,0,0,1,2.5649493574615367
418,0,2,0,30.0,0,0,0,0,1,2.5649493574615367
419,0,3,1,10.0,0,2,0,0,1,3.184284380098582
420,0,3,0,28.0,0,0,1,0,0,2.0663309725297405
421,0,3,0,21.0,0,0,0,1,0,2.0455356796500372
422,0,3,0,29.0,0,0,0,0,1,2.063693184711697
423,0,3,1,28.0,1,1,0,0,1,2.667228206581955
424,0,3,0,18.0,1,1,0,0,1,3.006301224903225
425,0,3,0,28.0,0,0,0,0,1,1.9810014688665833
426,1,2,1,28.0,1,0,0,0,1,3.258096538021482
427,1,2,1,19.0,0,0,0,0,1,3.258096538021482
428,0,3,0,28.0,0,0,0,1,0,2.0476928433652555
429,1,3,0,32.0,0,0,0,0,1,2.0856720914304723
430,1,1,0,28.0,0,0,0,0,1,3.279029747687948
431,1,3,1,28.0,1,0,0,0,1,2.7788192719904172
432,1,2,1,42.0,1,0,0,0,1,3.258096538021482
433,0,3,0,17.0,0,0,0,0,1,1.9636097261547143
434,0,1,0,50.0,1,0,0,0,1,4.023564380161053
435,1,1,1,14.0,1,2,0,0,1,4.787491742782046
436,0,3,1,21.0,2,2,0,0,1,3.5373295559867355
437,1,2,1,24.0,2,3,0,0,1,2.9311937524164198
439,0,2,0,31.0,0,0,0,0,1,2.3513752571634776
440,1,2,1,45.0,1,1,0,0,1,3.2676659890376327
441,0,3,0,20.0,0,0,0,0,1,2.2512917986064953
442,0,3,0,25.0,1,0,0,0,1,2.0509134580652977
443,1,2,1,28.0,0,0,0,0,1,2.5649493574615367
444,1,3,0,28.0,0,0,0,0,1,2.0934060820302083
