,Survived,Pclass,Sex,Age,SibSp,Parch,C,Q,S,Fare
445,1,1,0,4.0,0,2,0,0,1,4.404989703685167
446,1,2,1,13.0,0,1,0,0,1,2.970414465569701
447,1,1,0,34.0,0,0,0,0,1,3.279029747687948
448,1,3,1,5.0,2,1,1,0,0,2.957942136638392
449,1,1,0,52.0,0,0,0,0,1,3.417726683613366
450,0,2,0,36.0,1,2,0,0,1,3.3232358401924436
451,0,3,0,28.0,1,0,0,0,1,2.9940658859009823
452,0,1,0,30.0,0,0,1,0,0,3.3232358401924436
453,1,1,0,49.0,1,0,1,0,0,4.489806471412939
454,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
455,1,3,0,29.0,0,0,1,0,0,2.0663309725297405
457,1,1,1,28.0,1,0,0,0,1,3.948595985658986
458,1,2,1,50.0,0,0,0,0,1,2.3513752571634776
459,0,3,0,28.0,0,0,0,1,0,2.0476928433652555
460,1,1,0,48.0,0,0,0,0,1,3.279029747687948
461,0,3,0,34.0,0,0,0,0,1,2.0856720914304723
462,0,1,0,47.0,0,0,0,0,1,3.6506582412937387
463,0,2,0,48.0,0,0,0,0,1,2.5649493574615367
464,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
465,0,3,0,38.0,0,0,0,0,1,1.9530276168241774
468,0,3,0,28.0,0,0,0,1,0,2.044461822783809
470,0,3,0,28.0,0,0,0,0,1,1.9810014688665833
471,0,3,0,38.0,0,0,0,0,1,2.1590033645160216
472,1,2,1,33.0,1,2,0,0,1,3.3232358401924436
473,1,2,1,23.0,0,0,1,0,0,2.6240669619446257
474,0,3,1,22.0,0,0,0,0,1,2.2862016137435215
475,0,1,0,28.0,0,0,0,0,1,3.9512437185814275
476,0,2,0,34.0,1,0,0,0,1,3.044522437723423
477,0,3,0,29.0,1,0,0,0,1,1.9524316946169533
478,0,3,0,22.0,0,0,0,0,1,2.017672515282204
480,0,3,0,9.0,5,2,0,0,1,3.8480176754522337
482,0,3,0,50.0,0,0,0,0,1,2.0856720914304723
484,1,1,0,25.0,1,0,1,0,0,4.51172945766992
485,0,3,1,28.0,3,1,0,0,1,3.237371716404032
486,1,1,1,35.0,1,0,0,0,1,4.499809670330265
488,0,3,0,30.0,0,0,0,0,1,2.0856720914304723
489,1,3,0,9.0,1,1,0,0,1,2.766319109226186
490,0,3,0,28.0,1,0,0,0,1,2.9940658859009823
491,0,3,0,21.0,0,0,0,0,1,1.9810014688665833
494,0,3,0,21.0,0,0,0,0,1,2.0856720914304723
495,0,3,0,28.0,0,0,1,0,0,2.671268644120752
496,1,1,1,54.0,1,0,1,0,0,4.3601222251801195
497,0,3,0,28.0,0,0,0,0,1,2.714694743820879
498,0,1,1,25.0,1,2,0,0,1,5.020915603503812
499,0,3,0,24.0,0,0,0,0,1,2.0535851271346086
500,0,3,0,17.0,0,0,0,0,1,2.1590033645160216
501,0,3,1,21.0,0,0,0,1,0,2.0476928433652555
502,0,3,1,28.0,0,0,0,1,0,2.0319829905201345
503,0,3,1,37.0,0,0,0,0,1,2.260460166693375
504,1,1,1,16.0,0,0,0,0,1,4.460144413937834
505,0,1,0,18.0,1,0,1,0,0,4.690430029938915
506,1,2,1,33.0,0,2,0,0,1,3.258096538021482
507,1,1,0,28.0,0,0,0,0,1,3.279029747687948
508,0,3,0,28.0,0,0,0,0,1,3.1146258034944014
509,1,3,0,26.0,0,0,0,0,1,4.034166299106131
510,1,3,0,29.0,0,0,0,1,0,2.0476928433652555
511,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
512,1,1,0,36.0,0,0,0,0,1,3.2690935410288184
513,1,1,1,54.0,1,0,1,0,0,4.084294226368599
514,0,3,0,24.0,0,0,0,0,1,2.0143428636837015
515,0,1,0,47.0,0,0,0,0,1,3.5269721022703
516,1,2,1,34.0,0,0,0,0,1,2.3513752571634776
517,0,3,0,28.0,0,0,0,1,0,3.184284380098582
518,1,2,1,36.0,1,0,0,0,1,3.258096538021482
519,0,3,0,32.0,0,0,0,0,1,2.0663309725297405
520,1,1,1,30.0,0,0,0,0,1,4.537961436294641
521,0,3,0,22.0,0,0,0,0,1,2.0663309725297405
522,0,3,0,28.0,0,0,1,0,0,1.9775472339984959
523,1,1,1,44.0,0,1,1,0,0,4.0600843255369865
524,0,3,0,28.0,0,0,1,0,0,1.9781283799793465
525,0,3,0,40.5,0,0,0,1,0,2.0476928433652555
526,1,2,1,50.0,0,0,0,0,1,2.3513752571634776
527,0,1,0,28.0,0,0,0,0,1,5.401682292340279
528,0,3,0,39.0,0,0,0,0,1,2.0700223197633445
529,0,2,0,23.0,2,1,0,0,1,2.4423470353692043
531,0,3,0,28.0,0,0,1,0,0,1.9781283799793465
532,0,3,0,17.0,1,1,1,0,0,1.9781283799793465
533,1,3,1,28.0,0,2,1,0,0,3.107197616774036
534,0,3,1,30.0,0,0,0,0,1,2.1590033645160216
535,1,2,1,7.0,0,2,0,0,1,3.2676659890376327
536,0,1,0,45.0,0,0,0,0,1,3.279029747687948
537,1,1,1,30.0,0,0,1,0,0,4.667440511714216
538,0,3,0,28.0,0,0,0,0,1,2.6741486494265287
539,1,1,1,22.0,0,2,1,0,0,3.901972669574645
540,1,1,1,36.0,0,2,0,0,1,4.2626798770413155
541,0,3,1,9.0,4,2,0,0,1,3.442819056352975
542,0,3,1,11.0,4,2,0,0,1,3.442819056352975
543,1,2,0,32.0,1,0,0,0,1,3.258096538021482
544,0,1,0,50.0,1,0,1,0,0,4.667440511714216
546,1,2,1,19.0,1,0,0,0,1,3.258096538021482
547,1,2,0,28.0,0,0,1,0,0,2.6291873526764853
548,0,3,0,33.0,1,1,0,0,1,3.021643655338492
549,1,2,0,8.0,1,1,0,0,1,3.6041382256588457
550,1,1,0,17.0,0,2,1,0,0,4.708478296903478
551,0,2,0,27.0,0,0,0,0,1,3.258096538021482
552,0,3,0,28.0,0,0,0,1,0,2.0578603336462318
553,1,3,0,22.0,0,0,1,0,0,1.9775472339984959
554,1,3,1,22.0,0,0,0,0,1,2.0509134580652977
556,1,1,1,48.0,1,0,1,0,0,3.6788291182604347
557,0,1,0,28.0,0,0,1,0,0,5.427260122463419
558,1,1,1,39.0,1,1,0,0,1,4.3776420363560575
559,1,3,1,36.0,1,0,0,0,1,2.856470206220483
560,0,3,0,28.0,0,0,0,1,0,2.0476928433652555
561,0,3,0,40.0,0,0,0,0,1,2.0663309725297405
562,0,2,0,28.0,0,0,0,0,1,2.6026896854443837
563,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
564,0,3,1,28.0,0,0,0,0,1,2.0856720914304723
565,0,3,0,24.0,2,0,0,0,1,3.184284380098582
566,0,3,0,19.0,0,0,0,0,1,2.0663309725297405
567,0,3,1,29.0,0,4,0,0,1,3.048087503887919
568,0,3,0,28.0,0,0,1,0,0,1.9781283799793465
569,1,3,0,32.0,0,0,0,0,1,2.061048420562944
571,1,1,1,53.0,2,0,0,0,1,3.9411778425916384
572,1,1,0,36.0,0,0,0,0,1,3.272890413174439
573,1,3,1,28.0,0,0,0,1,0,2.0476928433652555
574,0,3,0,16.0,0,0,0,0,1,2.0856720914304723
575,0,3,0,19.0,0,0,0,0,1,2.6741486494265287
576,1,2,1,34.0,0,0,0,0,1,2.5649493574615367
577,1,1,1,39.0,1,0,0,0,1,4.023564380161053
578,0,3,1,28.0,1,0,1,0,0,2.671268644120752
579,1,3,0,32.0,0,0,0,0,1,2.0700223197633445
580,1,2,1,25.0,1,1,0,0,1,3.4011973816621555
581,1,1,1,39.0,1,1,1,0,0,4.708478296903478
582,0,2,0,54.0,0,0,0,0,1,3.258096538021482
583,0,1,0,36.0,0,0,1,0,0,3.69199958145018
584,0,3,0,28.0,0,0,1,0,0,2.1647587760866425
585,1,1,1,18.0,0,2,0,0,1,4.3776420363560575
586,0,2,0,47.0,0,0,0,0,1,2.70805020110221
588,0,3,0,22.0,0,0,0,0,1,2.0856720914304723
589,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
590,0,3,0,35.0,0,0,0,0,1,1.9636097261547143
591,1,1,1,52.0,1,0,1,0,0,4.3601222251801195
592,0,3,0,47.0,0,0,0,0,1,1.9810014688665833
593,0,3,1,28.0,0,2,0,1,0,2.0476928433652555
594,0,2,0,37.0,1,0,0,0,1,3.258096538021482
595,0,3,0,36.0,1,1,0,0,1,3.184284380098582
596,1,2,1,28.0,0,0,0,0,1,3.4965075614664802
598,0,3,0,28.0,0,0,1,0,0,1.9775472339984959
599,1,1,0,49.0,1,0,1,0,0,4.041808390519271
600,1,2,1,24.0,2,1,0,0,1,3.295836866004329
601,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
602,0,1,0,28.0,0,0,0,0,1,3.7471483622379123
603,0,3,0,44.0,0,0,0,0,1,2.0856720914304723
604,1,1,0,35.0,0,0,1,0,0,3.279029747687948
605,0,3,0,36.0,1,0,0,0,1,2.744060638625243
606,0,3,0,30.0,0,0,0,0,1,2.0663309725297405
607,1,1,0,27.0,0,0,0,0,1,3.417726683613366
608,1,2,1,22.0,1,2,1,0,0,3.7276000422255353
609,1,1,1,40.0,0,0,0,0,1,5.033456237506958
610,0,3,1,39.0,1,5,0,0,1,3.442819056352975
611,0,3,0,28.0,0,0,0,0,1,1.9530276168241774
612,1,3,1,28.0,1,0,0,1,0,2.740840023925201
613,0,3,0,28.0,0,0,0,1,0,2.0476928433652555
614,0,3,0,35.0,0,0,0,0,1,2.0856720914304723
615,1,2,1,24.0,1,2,0,0,1,4.174387269895637
616,0,3,0,34.0,1,1,0,0,1,2.667228206581955
617,0,3,1,26.0,1,0,0,0,1,2.7788192719904172
618,1,2,1,4.0,2,1,0,0,1,3.6635616461296463
619,0,2,0,26.0,0,0,0,0,1,2.3513752571634776
620,0,3,0,27.0,1,0,1,0,0,2.6709850297651974
621,1,1,0,42.0,1,0,0,0,1,3.961845018011234
622,1,3,0,20.0,1,1,1,0,0,2.7563132422397203
623,0,3,0,21.0,0,0,0,0,1,2.061048420562944
624,0,3,0,21.0,0,0,0,0,1,2.7788192719904172
627,1,1,1,21.0,0,0,0,0,1,4.356174068347218
628,0,3,0,26.0,0,0,0,0,1,2.0663309725297405
629,0,3,0,28.0,0,0,0,1,0,2.0455356796500372
631,0,3,0,51.0,0,0,0,0,1,1.9536231841196134
632,1,1,0,32.0,0,0,1,0,0,3.417726683613366
634,0,3,1,9.0,3,2,0,0,1,3.32862668882732
635,1,2,1,28.0,0,0,0,0,1,2.5649493574615367
636,0,3,0,32.0,0,0,0,0,1,2.0700223197633445
637,0,2,0,31.0,1,1,0,0,1,3.2676659890376327
638,0,3,1,41.0,0,5,0,0,1,3.6810362766529106
639,0,3,0,28.0,1,0,0,0,1,2.7788192719904172
640,0,3,0,20.0,0,0,0,0,1,2.061048420562944
641,1,1,1,24.0,0,0,1,0,0,4.238444906195857
643,1,3,0,28.0,0,0,0,0,1,4.034166299106131
645,1,1,0,48.0,1,0,1,0,0,4.340282339965535
646,0,3,0,19.0,0,0,0,0,1,2.0663309725297405
648,0,3,0,28.0,0,0,0,0,1,2.0215475632609334
649,1,3,1,23.0,0,0,0,0,1,2.0215475632609334
650,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
651,1,2,1,18.0,0,1,0,0,1,3.1354942159291497
652,0,3,0,21.0,0,0,0,0,1,2.132188154488383
653,1,3,1,28.0,0,0,0,1,0,2.0578603336462318
654,0,3,1,18.0,0,0,0,1,0,1.9095425048844386
655,0,2,0,24.0,2,0,0,0,1,4.297285406218791
656,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
657,0,3,1,32.0,1,1,0,1,0,2.740840023925201
658,0,2,0,23.0,0,0,0,0,1,2.5649493574615367
660,1,1,0,50.0,2,0,0,0,1,4.895224442584928
661,0,3,0,40.0,0,0,1,0,0,1.9775472339984959
662,0,1,0,47.0,0,0,0,0,1,3.2421039509874077
663,0,3,0,36.0,0,0,0,0,1,2.0143428636837015
664,1,3,0,20.0,1,0,0,0,1,2.0700223197633445
665,0,2,0,32.0,2,0,0,0,1,4.297285406218791
666,0,2,0,25.0,0,0,0,0,1,2.5649493574615367
667,0,3,0,28.0,0,0,0,0,1,2.0509134580652977
668,0,3,0,43.0,0,0,0,0,1,2.0856720914304723
669,1,1,1,28.0,1,0,0,0,1,3.9512437185814275
670,1,2,1,40.0,1,1,0,0,1,3.6635616461296463
671,0,1,0,31.0,1,0,0,0,1,3.9512437185814275
673,1,2,0,31.0,0,0,0,0,1,2.5649493574615367
675,0,3,0,18.0,0,0,0,0,1,2.0509134580652977
676,0,3,0,24.5,0,0,0,0,1,2.0856720914304723
677,1,3,1,18.0,0,0,0,0,1,2.286628460369784
678,0,3,1,43.0,1,6,0,0,1,3.8480176754522337
680,0,3,1,28.0,0,0,0,1,0,2.0964830075346876
681,1,1,0,27.0,0,0,1,0,0,4.340282339965535
682,0,3,0,20.0,0,0,0,0,1,2.221917189926591
683,0,3,0,14.0,5,2,0,0,1,3.8480176754522337
685,0,2,0,25.0,1,2,1,0,0,3.7276000422255353
686,0,3,0,14.0,4,1,0,0,1,3.6810362766529106
687,0,3,0,19.0,0,0,0,0,1,2.319520869700248
688,0,3,0,18.0,0,0,0,0,1,2.0535851271346086
689,1,1,1,15.0,0,1,0,0,1,5.353456381663085
690,1,1,0,31.0,1,0,0,0,1,4.04305126783455
691,1,3,1,4.0,0,1,1,0,0,2.5965001996654262
692,1,3,0,28.0,0,0,0,0,1,4.034166299106131
693,0,3,0,25.0,0,0,1,0,0,1.9775472339984959
695,0,2,0,52.0,0,0,0,0,1,2.6026896854443837
696,0,3,0,44.0,0,0,0,0,1,2.0856720914304723
697,1,3,1,28.0,0,0,0,1,0,2.0455356796500372
698,0,1,0,49.0,1,1,1,0,0,4.708478296903478
699,0,3,0,42.0,0,0,0,0,1,2.0347056478384444
700,1,1,1,18.0,1,0,1,0,0,5.427260122463419
701,1,1,0,35.0,0,0,0,0,1,3.2690935410288184
702,0,3,1,18.0,0,1,1,0,0,2.6709850297651974
703,0,3,0,25.0,0,0,0,1,0,2.046621301727582
704,0,3,0,26.0,1,0,0,0,1,2.061048420562944
705,0,2,0,39.0,0,0,0,0,1,3.258096538021482
706,1,2,1,45.0,0,0,0,0,1,2.6026896854443837
707,1,1,0,42.0,0,0,0,0,1,3.2690935410288184
708,1,1,1,22.0,0,0,0,0,1,5.020915603503812
709,1,3,0,28.0,1,1,1,0,0,2.7243040552851014
710,1,1,1,24.0,0,0,1,0,0,3.902057514460064
711,0,1,0,28.0,0,0,0,0,1,3.279029747687948
712,1,1,0,48.0,1,0,0,0,1,3.9512437185814275
713,0,3,0,29.0,0,0,0,0,1,2.2495323569595644
714,0,2,0,52.0,0,0,0,0,1,2.5649493574615367
715,0,3,0,19.0,0,0,0,0,1,2.0347056478384444
716,1,1,1,38.0,0,0,1,0,0,5.427260122463419
717,1,2,1,27.0,0,0,0,0,1,2.3513752571634776
718,0,3,0,28.0,0,0,0,1,0,2.740840023925201
719,0,3,0,33.0,0,0,0,0,1,2.0509134580652977
720,1,2,1,6.0,0,1,0,0,1,3.4965075614664802
721,0,3,0,17.0,1,0,0,0,1,1.9536231841196134
722,0,2,0,34.0,0,0,0,0,1,2.5649493574615367
723,0,2,0,50.0,0,0,0,0,1,2.5649493574615367
724,1,1,0,27.0,1,0,0,0,1,3.9721769282478934
725,0,3,0,20.0,0,0,0,0,1,2.1590033645160216
726,1,2,1,30.0,3,0,0,0,1,3.044522437723423
727,1,3,1,28.0,0,0,0,1,0,2.0460786380107145
728,0,2,0,25.0,1,0,0,0,1,3.258096538021482
729,0,3,1,25.0,1,0,0,0,1,2.0700223197633445
730,1,1,1,29.0,0,0,0,0,1,5.353456381663085
731,0,3,0,11.0,0,0,1,0,0,2.933191755079093
733,0,2,0,23.0,0,0,0,0,1,2.5649493574615367
734,0,2,0,23.0,0,0,0,0,1,2.5649493574615367
735,0,3,0,28.5,0,0,0,0,1,2.7788192719904172
736,0,3,1,48.0,1,3,0,0,1,3.5373295559867355
738,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
739,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
740,1,1,0,28.0,0,0,0,0,1,3.4011973816621555
741,0,1,0,36.0,1,0,0,0,1,4.367547313409047
743,0,3,0,24.0,1,0,0,0,1,2.7788192719904172
744,1,3,0,31.0,0,0,0,0,1,2.0700223197633445
746,0,3,0,16.0,1,1,0,0,1,3.0081547935525483
747,1,2,1,30.0,0,0,0,0,1,2.5649493574615367
748,0,1,0,19.0,1,0,0,0,1,3.9721769282478934
749,0,3,0,31.0,0,0,0,1,0,2.0476928433652555
750,1,2,1,4.0,1,1,0,0,1,3.1354942159291497
751,1,3,0,6.0,0,1,0,0,1,2.5237266416375825
752,0,3,0,33.0,0,0,0,0,1,2.2512917986064953
753,0,3,0,23.0,0,0,0,0,1,2.0663309725297405
754,1,2,1,48.0,1,2,0,0,1,4.174387269895637
756,0,3,0,28.0,0,0,0,0,1,2.0535851271346086
757,0,2,0,18.0,0,0,0,0,1,2.4423470353692043
758,0,3,0,34.0,0,0,0,0,1,2.0856720914304723
759,1,1,1,33.0,0,0,0,0,1,4.460144413937834
760,0,3,0,28.0,0,0,0,0,1,2.6741486494265287
761,0,3,0,41.0,0,0,0,0,1,1.9636097261547143
762,1,3,0,20.0,0,0,1,0,0,1.9781283799793465
763,1,1,1,36.0,1,2,0,0,1,4.787491742782046
764,0,3,0,16.0,0,0,0,0,1,2.0509134580652977
765,1,1,1,51.0,1,0,0,0,1,4.356174068347218
766,0,1,0,28.0,0,0,1,0,0,3.6788291182604347
767,0,3,1,30.5,0,0,0,1,0,2.0476928433652555
768,0,3,0,28.0,1,0,0,1,0,3.184284380098582
769,0,3,0,32.0,0,0,0,0,1,2.1237574254543468
770,0,3,0,24.0,0,0,0,0,1,2.2512917986064953
771,0,3,0,48.0,0,0,0,0,1,2.061048420562944
773,0,3,0,28.0,0,0,1,0,0,1.9775472339984959
774,1,2,1,54.0,1,3,0,0,1,3.1354942159291497
775,0,3,0,18.0,0,0,0,0,1,2.0476928433652555
776,0,3,0,28.0,0,0,0,1,0,2.0476928433652555
777,1,3,1,5.0,0,0,0,0,1,2.5237266416375825
778,0,3,0,28.0,0,0,0,1,0,2.0460786380107145
779,1,1,1,43.0,0,1,0,0,1,5.353456381663085
780,1,3,1,13.0,0,0,1,0,0,1.9781283799793465
781,1,1,1,17.0,1,0,0,0,1,4.04305126783455
782,0,1,0,29.0,0,0,0,0,1,3.4011973816621555
783,0,3,0,28.0,1,2,0,0,1,3.1548704948922883
784,0,3,0,25.0,0,0,0,0,1,1.9530276168241774
785,0,3,0,25.0,0,0,0,0,1,1.9810014688665833
786,1,3,1,18.0,0,0,0,0,1,2.0143428636837015
787,0,3,0,8.0,4,1,0,1,0,3.371596911885865
789,0,1,0,46.0,0,0,1,0,0,4.37197629882038
790,0,3,0,28.0,0,0,0,1,0,2.0476928433652555
791,0,2,0,16.0,0,0,0,0,1,3.258096538021482
792,0,3,1,28.0,8,2,0,0,1,4.242045918369452
793,0,1,0,28.0,0,0,1,0,0,3.424125837416519
794,0,3,0,25.0,0,0,0,0,1,2.0663309725297405
795,0,2,0,39.0,0,0,0,0,1,2.5649493574615367
796,1,1,1,49.0,0,0,0,0,1,3.255369746779992
797,1,3,1,31.0,0,0,0,0,1,2.161401640752305
798,0,3,0,30.0,0,0,1,0,0,1.9781283799793465
799,0,3,1,30.0,1,1,0,0,1,3.184284380098582
800,0,2,0,34.0,0,0,0,0,1,2.5649493574615367
801,1,2,1,31.0,1,1,0,0,1,3.2676659890376327
802,1,1,0,11.0,1,2,0,0,1,4.787491742782046
804,1,3,0,27.0,0,0,0,0,1,1.9423323277074294
805,0,3,0,31.0,0,0,0,0,1,2.0509134580652977
807,0,3,1,18.0,0,0,0,0,1,2.0509134580652977
808,0,2,0,39.0,0,0,0,0,1,2.5649493574615367
809,1,1,1,33.0,1,0,0,0,1,3.9721769282478934
810,0,3,0,26.0,0,0,0,0,1,2.0652792278673315
811,0,3,0,39.0,0,0,0,0,1,3.184284380098582
812,0,2,0,35.0,0,0,0,0,1,2.3513752571634776
813,0,3,1,6.0,4,2,0,0,1,3.442819056352975
814,0,3,0,30.5,0,0,0,0,1,2.0856720914304723
816,0,3,1,23.0,0,0,0,0,1,2.0700223197633445
817,0,2,0,31.0,1,1,1,0,0,3.6110314197155664
818,0,3,0,43.0,0,0,0,0,1,1.864080130807681
819,0,3,0,10.0,3,2,0,0,1,3.32862668882732
820,1,1,1,52.0,1,1,0,0,1,4.537961436294641
821,1,3,0,27.0,0,0,0,0,1,2.1590033645160216
823,1,3,1,27.0,0,1,0,0,1,2.5237266416375825
825,0,3,0,28.0,0,0,0,1,0,1.9387416595767009
826,0,3,0,28.0,0,0,0,0,1,4.034166299106131
828,1,3,0,28.0,0,0,0,1,0,2.0476928433652555
830,1,3,1,15.0,1,0,1,0,0,2.6709850297651974
832,0,3,0,28.0,0,0,1,0,0,1.9781283799793465
833,0,3,0,23.0,0,0,0,0,1,2.061048420562944
834,0,3,0,18.0,0,0,0,0,1,2.1162555148025524
835,1,1,1,39.0,1,1,1,0,0,4.4207460202604185
836,0,3,0,21.0,0,0,0,0,1,2.1590033645160216
837,0,3,0,28.0,0,0,0,0,1,2.0856720914304723
838,1,3,0,32.0,0,0,0,0,1,4.034166299106131
839,1,1,0,28.0,0,0,1,0,0,3.391147045808654
840,0,3,0,20.0,0,0,0,0,1,2.0700223197633445
841,0,2,0,16.0,0,0,0,0,1,2.3513752571634776
842,1,1,1,30.0,0,0,1,0,0,3.4339872044851463
843,0,3,0,34.5,0,0,1,0,0,1.8621402659898545
844,0,3,0,17.0,0,0,0,0,1,2.1590033645160216
845,0,3,0,42.0,0,0,0,0,1,2.0215475632609334
846,0,3,0,28.0,8,2,0,0,1,4.242045918369452
847,0,3,0,35.0,0,0,1,0,0,2.0663309725297405
848,0,2,0,28.0,0,1,0,0,1,3.4965075614664802
849,1,1,1,28.0,1,0,1,0,0,4.489806471412939
850,0,3,0,4.0,4,2,0,0,1,3.442819056352975
852,0,3,1,9.0,1,1,1,0,0,2.7243040552851014
853,1,1,1,16.0,0,1,0,0,1,3.673765816303888
854,0,2,1,44.0,1,0,0,0,1,3.258096538021482
855,1,3,1,18.0,0,1,0,0,1,2.2353763433005955
856,1,1,1,45.0,1,1,0,0,1,5.1051372686027685
857,1,1,0,51.0,0,0,0,0,1,3.279029747687948
858,1,3,1,24.0,0,3,1,0,0,2.957942136638392
859,0,3,0,28.0,0,0,1,0,0,1.9781283799793465
860,0,3,0,41.0,2,0,0,0,1,2.6467632766784814
861,0,2,0,21.0,1,0,0,0,1,2.4423470353692043
862,1,1,1,48.0,0,0,0,0,1,3.255369746779992
863,0,3,1,28.0,8,2,0,0,1,4.242045918369452
864,0,2,0,24.0,0,0,0,0,1,2.5649493574615367
865,1,2,1,42.0,0,0,0,0,1,2.5649493574615367
866,1,2,1,27.0,1,0,1,0,0,2.6288843311163475
867,0,1,0,31.0,0,0,0,0,1,3.921890164505806
868,0,3,0,28.0,0,0,0,0,1,2.2512917986064953
869,1,3,0,4.0,1,1,0,0,1,2.409940617298087
870,0,3,0,26.0,0,0,0,0,1,2.0663309725297405
871,1,1,1,47.0,1,1,0,0,1,3.961845018011234
872,0,1,0,33.0,0,0,0,0,1,1.6094379124341003
873,0,3,0,47.0,0,0,0,0,1,2.1972245773362196
874,1,2,1,28.0,1,0,1,0,0,3.1780538303479458
875,1,3,1,15.0,0,0,1,0,0,1.9775472339984959
876,0,3,0,20.0,0,0,0,0,1,2.287044968312313
877,0,3,0,19.0,0,0,0,0,1,2.0663309725297405
878,0,3,0,28.0,0,0,0,0,1,2.0663309725297405
880,1,2,1,25.0,0,1,0,0,1,3.258096538021482
881,0,3,0,33.0,0,0,0,0,1,2.0663309725297405
882,0,3,1,22.0,0,0,0,0,1,2.352964469886197
883,0,2,0,28.0,0,0,0,0,1,2.3513752571634776
884,0,3,0,25.0,0,0,0,0,1,1.9530276168241774
885,0,3,1,39.0,0,5,0,1,0,3.371596911885865
886,0,2,0,27.0,0,0,0,0,1,2.5649493574615367
887,1,1,1,19.0,0,0,0,0,1,3.4011973816621555
888,0,3,1,28.0,1,2,0,0,1,3.1548704948922883
889,1,1,0,26.0,0,0,1,0,0,3.4011973816621555
890,0,3,0,32.0,0,0,0,1,0,2.0476928433652555
